Name,RA,DEC,Dist (kpc),Dist_err (kpc),RV (km/s),pmRA (mas/yr),pmDEC (mas/yr),[Fe/H],[C/Fe]c,[Sr/Fe],[Ba/Fe],[Eu/Fe],Comments,CEMP class,CEMP group,Abundance reference,RV reference,Dist source
HE1447+0102,14:50:15.036,+00:50:15.1695,2.034056668,0.172086904,-61.22,-10.151,-12.701,-2.47,2.54,...,2.7,...,,CEMP-s,I,Aoki2007,Aoki2007,GAIA DR2
HE1523-1155,15:26:41.037,-12:05:42.6276,4.17480008,0.444621449,-38.96181152,-12.323,-6.104,-2.15,1.93,...,1.72,...,,CEMP-s,I,Aoki2007,GAIA DR2,GAIA DR2
HE1528-0409,15:30:54.3003,-04:19:40.4554,5.668691821,1.297628423,-157.48,1.432,-11.77,-2.6,2.47,...,2.3,...,,CEMP-s,I,Aoki2007,Aoki2007,GAIA DR2
HE2122-4707,21:25:44.3989,-46:54:11.017,6.326383652,1.646530323,78.9,0.014,-13.476,-2.42,1.62,...,2.03,2.01,,CEMP-rs,I,Cohen2013,Cohen2013,GAIA DR2
HE2138-3336,21:41:20.398,-33:22:29.007,0.823782215,0.029908343,56.1,-15.125,-31.65,-2.79,2.43,0.27,1.91,1.09,ulEuFe,CEMP-s,I,Placco2013,Placco2013,GAIA DR2
HE2144-1832,21:46:54.6665,-18:18:15.629,2.114750174,0.205753406,141.2402638,-13.962,-7.045,-1.7,1.02,1.5,1.3,...,,CEMP-s,I,hansen2015d,GAIA DR2,GAIA DR2
HE2148-1247,21:51:17.9193,-12:33:41.8364,2.188538309,0.332256585,40.9,30.491,-23.647,-2.3,1.79,0.74,2.34,1.96,,CEMP-rs,I,Cohen2013,Cohen2013,GAIA DR2
HE2155-3750,21:58:09.7981,-37:36:20.0303,3.016394273,0.302137284,77.54024347,7.338,-19.657,-2.59,1.72,...,1.92,1.65,ulEuFe,CEMP-s,I,Cohen2013,GAIA DR2,GAIA DR2
HE2158-0348,22:00:39.9754,-03:34:12.1967,2.68090364,0.357006019,67.6,9.39,-11.666,-2.57,1.89,0.6,1.75,0.85,,CEMP-s,I,Yong2013,Cohen2013,GAIA DR2
HE2221-0453,22:24:25.6298,-04:38:02.2097,5.50393965,0.857126078,-189.91,1.496,-13.277,-2.0,1.91,...,1.76,...,,CEMP-s,I,Yong2013,Yong2013,GAIA DR2
HE2227-4044,22:30:19.0811,-40:29:13.0841,0.982189774,0.03900008,103.9,-27.982,-30.668,-2.32,1.59,0.51,1.29,...,,CEMP-s,I,Barklem2005,Barklem2005,GAIA DR2
HE2228-0706,22:31:24.4683,-06:50:51.196,1.664511273,0.077126764,-11.69,-0.827,-8.99,-2.78,2.36,...,2.46,...,,CEMP-s,I,Yong2013,Yong2013,GAIA DR2
HE2238-4131,22:41:22.5994,-41:15:57.0196,2.968467335,0.686646761,-42.0,0.133,-6.421,-2.75,2.65,1.75,1.8,1.1,,CEMP-s,I,hansen2015a,hansen2015a,GAIA DR2
HE2240-0412,22:42:58.077,-03:56:34.0551,1.055953383,0.056305823,-163.7,-3.993,-55.551,-2.2,1.26,0.34,1.28,...,,CEMP-s,I,Barklem2005,Barklem2005,GAIA DR2
HE2251-0821,22:54:08.1996,-08:05:45.0221,4.559451015,0.869863975,48.4,8.872,-4.867,-2.91,1.78,0.73,1.75,...,,CEMP-s,I,Cohen2013,Cohen2013,GAIA DR2
HE2258-6358,23:01:48.6005,-63:42:24.0047,6.399651976,0.892450301,102.1,0.366,-9.789,-2.67,2.5,0.8,2.23,1.68,,CEMP-s,I,Placco2013,Placco2013,GAIA DR2
SDSSJ0002+2928,00:02:19.869,+29:28:51.7852,2.155023887,0.18740997,-308.22,-2.709,-23.305,-3.26,2.63,...,1.84,...,,CEMP-s,I,Aoki2013,Aoki2013,GAIA DR2
SDSSJ0126+0607,01:26:17.9488,+06:07:24.8018,2.783238449,0.346526123,-274.31,18.037,7.502,-3.01,3.08,...,3.2,...,,CEMP-s,I,Aoki2013,Aoki2013,GAIA DR2
SDSSJ0308+0505,03:08:39.2676,+05:05:34.9125,1.191558278,0.099080002,316.08,42.894,-29.93,-2.19,2.36,...,...,...,,CEMP-s,I,Aoki2013,Aoki2013,GAIA DR2
SDSSJ0629+8303,06:29:47.4413,+83:03:28.6216,2.521427713,0.196499793,-122.08,3.848,-9.475,-2.82,2.09,...,...,...,,CEMP-s/rs,I,Aoki2013,Aoki2013,GAIA DR2
SDSSJ0912+0216,09:12:43.7179,+02:16:23.7245,1.276182325,0.080886081,137.18,-3.019,-28.796,-2.5,2.17,...,1.49,...,,CEMP-s,I,Masseron2012,Aoki2013,GAIA DR2
SDSSJ1114+1828,11:14:07.0697,+18:28:31.7186,1.933356978,0.293821469,230.7513,-21.454,-5.409,-3.35,3.25,...,1.62,...,,CEMP-s,I,Spite2013,SDSS DR9,GAIA DR2
SDSSJ1245-0738,12:45:02.6787,-07:38:47.1019,4.026796622,1.08979625,76.88,2.898,-5.558,-3.17,2.53,...,2.09,...,,CEMP-s,I,Aoki2013,Aoki2013,GAIA DR2
SDSSJ1349-0229,13:49:13.5384,-02:29:42.8166,2.984779051,0.62658844,120.21,-10.254,-7.195,-3.0,2.82,...,2.17,...,,CEMP-s,I,Masseron2012,Aoki2013,GAIA DR2
SDSSJ1626+1458,16:26:03.6079,+14:58:44.2824,3.395869195,0.862982524,25.83,-21.642,-19.539,-2.99,2.86,...,1.69,...,,CEMP-s,I,Aoki2013,Aoki2013,GAIA DR2
SDSSJ1646+2824,16:46:10.1897,+28:24:22.1714,1.405249942,0.073016414,-18.72,-18.029,41.321,-3.05,2.52,...,1.78,...,,CEMP-s,I,Aoki2013,Aoki2013,GAIA DR2
SDSSJ1734+4316,17:34:17.8882,+43:16:06.4676,7.947368863,2.058663979,-211.93,-0.293,-8.344,-2.51,1.8,...,1.61,...,,CEMP-s,I,Aoki2013,Aoki2013,GAIA DR2
SDSSJ1836+6317,18:36:01.7106,+63:17:27.3793,4.497550993,0.712529109,-423.25,-5.514,-5.252,-2.85,2.03,...,2.37,...,,CEMP-s,I,Aoki2013,Aoki2013,GAIA DR2
SDSSJ2047+0015,20:47:28.8377,+00:15:53.7903,2.5704186,0.400535745,-50.05,20.419,-30.348,-2.36,2.0,...,1.7,...,,CEMP-s,I,Yong2013,Allende Prieto; C. et. al. 2008,GAIA DR2
