Name,RA,DEC,Dist (kpc),Dist_err (kpc),RV (km/s),pmRA (mas/yr),pmDEC (mas/yr),[Fe/H],[C/Fe]c,[Sr/Fe],[Ba/Fe],[Eu/Fe],Comments,CEMP class,CEMP group,Abundance reference,RV reference,Dist source
CS22888-031,23:11:32.4801,-35:26:42.8826,0.887419757,0.026777694,-126.0,56.625,-27.42,-3.71,0.92,-0.31,-0.41,1.79,ulBaFe; ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22891-200,19:35:19.0624,-61:42:24.5422,5.971364681,1.220153945,137.7,-5.024,0.754,-4.06,1.21,-1.18,-0.75,0.11,,CEMP-no,II,Roederer2014,Hollek; J. 2011,GAIA DR2
CS22896-110,19:35:48.021,-53:26:16.2683,5.812367339,1.299615766,77.0,-5.478,-9.139,-2.85,0.82,0.03,-0.59,0.04,,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22897-008,21:03:11.874,-65:05:08.795,4.769053237,0.447260234,260.0,-1.676,-6.285,-3.83,1.32,0.67,-1.17,-0.03,,CEMP-no,II,Roederer2014,Beers; T. C. 1992,GAIA DR2
CS22949-048,23:26:07.4118,-05:50:06.6536,4.042174808,0.60528882,-160.8,4.826,-3.249,-3.55,0.93,-1.2,-1.45,-0.1,ulEuFe,CEMP-no,II,Roederer2014,Roederer2014,GAIA DR2
CS22950-046,20:21:28.3937,-13:16:33.6757,8.869777882,2.128051775,106.7,1.57,-1.815,-4.12,1.3,0.1,-1.01,0.23,ulEuFe,CEMP-no,II,Roederer2014,Carollo; D. 2014,GAIA DR2
CS22953-037,01:25:06.6464,-59:16:00.7398,0.805854224,0.01098222,-153.0,67.866,35.624,-3.21,1.0,-1.67,-0.72,1.4,ulBaFe; ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22956-050,21:58:05.8243,-65:13:27.1864,5.683894226,0.748963901,-36.9,-1.39,-6.071,-3.67,0.98,-0.44,-0.9,-0.09,ulEuFe,CEMP-no,II,Roederer2014,Jacobson; H. R. 2015,GAIA DR2
CS22958-083,02:15:42.7295,-53:59:56.2662,3.637316368,0.222007728,175.6,-6.687,-6.032,-3.05,0.71,-0.14,-0.99,-0.11,ulEuFe,CEMP-no,II,Roederer2014,Barklem; P.S. 2005,GAIA DR2
CS22960-048,22:17:01.5714,-45:12:16.9176,4.384552709,0.662123721,-85.0,-2.654,-15.949,-3.91,0.93,-2.0,-1.59,0.55,ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 2000,GAIA DR2
CS22964-183,20:01:12.7774,-40:49:09.8493,1.62626679,0.07719885,97.0,-3.121,-37.399,-3.01,0.83,-1.06,-0.92,1.24,ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22964-214,20:05:50.0021,-39:27:43.1716,0.792438779,0.017657754,43.0,15.157,-101.231,-2.95,0.73,-0.14,-0.43,1.24,ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS22965-054,22:06:30.304,-02:32:34.4776,1.420471904,0.112858257,-281.9,27.324,0.947,-3.17,1.02,0.39,-0.5,1.73,ulBaFe; ulEuFe,CEMP-no,II,Roederer2014,Roederer2014,GAIA DR2
CS29493-050,21:49:26.6556,-29:45:24.9656,1.017731731,0.028509471,-95.0,-25.078,-71.862,-2.92,0.84,0.17,-0.69,1.36,ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS29502-092,22:22:35.997,-01:38:27.5731,1.352919234,0.086953195,-65.84389668,12.624,-67.403,-3.3,1.46,-0.33,-1.36,0.11,ulEuFe,CEMP-no,II,Roederer2014,GAIA DR2,GAIA DR2
CS29504-006,01:32:04.969,-36:22:42.9312,0.967148356,0.032284777,-90.0,-2.09,8.9,-3.12,1.59,0.03,0.41,1.75,ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1992,GAIA DR2
CS29514-007,01:06:40.6051,-24:58:42.1349,1.112509795,0.035515837,31.0,93.157,-67.016,-2.83,0.89,-0.12,-0.14,1.74,ulEuFe,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
CS29527-015,00:29:10.6736,-19:10:07.2463,1.094910798,0.04112342,48.0,67.381,-32.798,-3.32,1.18,0.44,...,...,,CEMP-no,II,Yong2013,Carollo; D. 2014,GAIA DR2
CS30314-067,20:52:50.984,-34:19:40.4967,6.671797974,1.781799625,145.953121,-10.316,-6.816,-3.31,1.58,-0.06,-0.25,-0.32,,CEMP-no,II,Roederer2014,GAIA DR2,GAIA DR2
CS30492-110,21:21:45.8257,-38:08:57.9735,5.533890097,1.386007043,44.0,3.537,-1.072,-3.27,0.88,0.02,-0.43,0.28,,CEMP-no,II,Roederer2014,Beers; T. C. 1995,GAIA DR2
HD126587,14:27:00.3597,-22:14:39.0293,0.624550046,0.016546399,149.7431782,-14.976,-53.441,-3.29,0.84,0.09,-0.25,0.24,,CEMP-no,II,Roederer2014,GAIA DR2,GAIA DR2
HD237846,09:52:38.6936,+57:54:58.4391,0.847147812,0.022606876,-303.2213794,0.542,-8.317,-3.21,0.74,-0.01,-0.92,-0.35,,CEMP-no,II,Roederer2014,GAIA DR2,GAIA DR2
HE0015+0048,00:18:01.4285,+01:05:08.0916,4.23833965,0.734207118,-48.8,-2.533,-11.842,-3.07,1.29,...,-1.17,...,,CEMP-no,II,Hollek2011,Hollek2011,GAIA DR2
HE0055-2314,00:57:44.099,-22:58:09.0098,1.626485634,0.14866872,-64.7,0.371,-27.908,-2.65,0.72,-0.16,-0.49,...,,CEMP-no,II,Cohen2013,Cohen2013,GAIA DR2
HE0057-5959,00:59:54.1019,-59:43:29.997,3.965624271,0.399168366,375.3,2.389,-10.522,-4.08,0.86,-1.06,-0.46,...,,CEMP-no,II,Yong2013,Carollo; D. 2014,GAIA DR2
HE0102-1213,01:05:27.9629,-11:57:31.0826,1.17389927,0.033168409,90.5,-18.622,-68.771,-3.28,1.31,...,-0.64,...,ulBaFe,CEMP-no,II,Yong2013,Carollo; D. 2014,GAIA DR2
HE0132-2429,01:34:58.7989,-24:24:18.0021,3.663086492,0.46456378,294.7,0.201,-3.929,-3.6,0.84,0.13,-0.85,1.22,ulEuFe,CEMP-no,II,Cohen2008,Cohen2013,GAIA DR2
HE0134-1519,01:37:05.3697,-15:04:22.7593,2.503960602,0.187193652,244.0,24.961,-10.905,-3.98,1.0,-0.3,-0.5,1.5,ulBaFe; ulEuFe,CEMP-no,II,Hansen2014,Hansen2014,GAIA DR2
HE0139-2826,01:41:36.7993,-28:11:03.0014,3.470378599,0.232476337,-253.0,3.269,-14.776,-3.46,0.86,-1.51,-1.22,0.21,ulEuFe,CEMP-no,II,Placco2014a,Placco2014a,GAIA DR2
HE0302-3417a,03:04:28.4395,-34:06:04.5789,3.029065317,0.237229223,122.4687336,4.475,-20.44,-3.7,1.2,...,-2.1,...,,CEMP-no,II,Hollek2011,GAIA DR2,GAIA DR2
HE0324+0152a,03:26:53.7983,+02:02:28.0146,1.677671835,0.110218113,107.3,22.759,-14.128,-3.32,0.84,...,-1.2,0.66,ulEuFe,CEMP-no,II,Hollek2011,Hollek2011,GAIA DR2
HE0401-3835,04:03:14.8007,-38:27:39.9895,5.077893858,0.985548727,347.5,5.549,2.81,-3.05,0.78,-0.23,-0.75,0.84,ulEuFe,CEMP-no,II,Cohen2013,Cohen2013,GAIA DR2
HE0420+0123a,04:23:14.5416,+01:30:48.3642,1.055541208,0.047525523,-55.33598889,33.257,-21.424,-3.03,0.78,...,0.08,...,,CEMP-no,II,Hollek2011,GAIA DR2,GAIA DR2
HE0432-1005a,04:35:01.3138,-09:59:36.3239,4.538440589,0.715011373,197.8590187,8.483,-7.129,-3.21,0.96,...,-0.9,...,,CEMP-no,II,Hollek2011,GAIA DR2,GAIA DR2
HE0450-4705,04:51:33.5668,-47:00:03.8436,2.020453711,0.073174801,-6.3,19.813,-27.42,-3.1,0.8,-0.38,...,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE0557-4840,05:58:39.2604,-48:39:56.7772,10.77005895,2.4000554,211.44,0.718,0.735,-4.73,1.6,-1.04,0.0,2.02,ulSrFe; ulBaFe; ulEuFe,CEMP-no,II,Norris2007,Norris2007,GAIA DR2
HE1116-0634,11:18:35.8867,-06:50:45.0852,3.065699443,0.463073188,116.3190965,-3.298,0.224,-3.73,0.81,...,-1.81,...,,CEMP-no,II,Hollek2011,GAIA DR2,GAIA DR2
HE1124-2335,11:27:26.9454,-23:52:05.6373,3.693993419,0.407032279,181.5,-8.35,-3.256,-3.36,1.0,0.11,-1.19,0.13,ulEuFe,CEMP-no,II,Roederer2014,Roederer2014,GAIA DR2
HE1135-0344,11:38:21.0323,-04:01:24.0697,2.261615604,0.331980069,-167.4,-17.78,-16.93,-2.63,0.99,0.48,...,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1148-0037,11:51:14.9823,-00:54:11.1148,1.328740779,0.047177822,-36.6,-51.269,-47.963,-3.47,0.8,-0.32,...,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1217-0540,12:19:53.6586,-05:57:15.8698,0.739757206,0.021127193,151.2,-23.661,-26.518,-2.94,0.77,0.23,...,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1221-1948,12:23:47.7413,-20:04:45.9268,2.738374999,0.391731993,31.6,7.138,-4.799,-3.36,1.38,...,...,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1249-3121,12:52:05.1383,-31:37:44.9212,2.143044268,0.148456871,218.7,-6.54,-15.602,-3.23,1.82,-0.88,...,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1300+0157,13:02:56.2411,+01:41:52.1155,1.925109475,0.113715746,73.4,-7.309,-1.334,-3.75,1.31,-1.73,-0.85,...,ulBaFe,CEMP-no,II,Yong2013,Cohen2013,GAIA DR2
HE1300-0641,13:03:34.1403,-06:57:20.8124,4.645967971,0.700951603,67.9,5.165,2.432,-3.14,1.21,-0.5,-0.86,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1300-2201,13:03:17.3146,-22:17:37.9757,1.385161825,0.095916693,-62.8,-1.011,7.322,-2.61,0.92,0.38,-0.13,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1305-0331,13:07:58.9309,-03:47:40.3367,2.825406273,0.601935132,-38.4,-11.085,-9.255,-3.26,1.09,-0.07,...,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1311-0131,13:13:42.022,-01:47:15.3337,2.817118022,0.331389119,124.0,-30.209,-9.945,-3.15,0.73,...,-0.62,...,,CEMP-no,II,Hollek2011,Carrera; R. 2013,GAIA DR2
HE1330-0354,13:33:10.6739,-04:10:05.7757,1.579573837,0.096679529,35.3,-22.22,-53.59,-2.29,0.96,0.11,-0.56,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1338-0052,13:40:59.298,-01:07:19.999,1.556815128,0.119916174,-39.0,-2.427,-23.495,-3.01,1.32,0.13,-0.02,1.46,ulEuFe,CEMP-no,II,Cohen2013,Cohen2013,GAIA DR2
HE1413-1954,14:16:04.711,-20:08:54.093,1.678478587,0.18325573,-100.4,-20.154,-1.392,-3.19,1.41,-0.37,...,...,,CEMP-no,II,Barklem2005,Barklem2005,GAIA DR2
HE1432-1819,14:35:22.7972,-18:32:22.0128,2.353470893,0.390083703,63.2,-14.553,-12.609,-2.56,0.83,-0.58,-0.67,...,,CEMP-no,II,Cohen2013,Cohen2013,GAIA DR2
HE2123-0329,21:26:08.9581,-03:16:58.801,3.767595128,0.529028446,-217.6508126,-0.634,-11.109,-3.22,1.06,...,-0.85,...,,CEMP-no,II,Hollek2011,GAIA DR2,GAIA DR2
HE2138-0314,21:40:41.5892,-03:01:17.1201,2.523981781,0.171125296,-373.5,0.117,1.243,-3.29,0.82,...,-0.85,...,,CEMP-no,II,Hollek2011,Hollek2011,GAIA DR2
HE2141-3741,21:44:51.1707,-37:27:55.0111,5.639600676,0.921720189,-166.0,-0.167,-6.51,-3.3,0.83,-0.57,-1.28,-0.17,ulEuFe,CEMP-no,II,Placco2014a,Beers; T. C. 1995,GAIA DR2
HE2142-5656,21:46:20.5008,-56:42:18.008,5.441910548,0.661396415,103.4,-9.153,-5.091,-2.87,1.05,...,-0.63,...,,CEMP-no,II,Yong2013,Carollo; D. 2014,GAIA DR2
HE2250-4229,22:53:39.6937,-42:13:03.8063,1.667209642,0.137695253,-25.37957032,30.058,-7.372,-2.7,0.92,0.4,-0.3,...,,CEMP-no,II,hansen2015d,GAIA DR2,GAIA DR2
HE2302-2154a,23:05:25.3396,-21:38:06.8217,3.060446186,0.461895725,-17.56313318,-1.142,-15.056,-3.9,1.08,...,-1.5,...,,CEMP-no,II,Hollek2011,GAIA DR2,GAIA DR2
HE2318-1621,23:21:21.499,-16:05:06.0108,2.116571073,0.164217613,-39.95433462,17.161,3.631,-3.67,1.54,-1.0,-1.61,0.13,ulEuFe,CEMP-no,II,Placco2014a,GAIA DR2,GAIA DR2
HE2323-6549,23:26:14.4906,-65:33:06.9173,2.408312479,0.111404326,23.6,1.751,-26.086,-3.35,0.73,0.03,-0.58,0.58,ulEuFe,CEMP-no,II,Placco2014a,Placco2014a,GAIA DR2
HE2331-7155,23:34:36.1014,-71:38:51.0049,9.067989732,1.525164458,210.6,2.945,-1.769,-3.68,1.72,-0.85,-0.9,0.5,ulEuFe,CEMP-no,II,hansen2015a,hansen2015a,GAIA DR2
LAMOSTJ1253+0753,12:53:46.09,+07:53:43.1,0.685273604,0.017732012,78.0,21.045,-58.727,-4.02,1.59,0.19,-0.3,1.6,ulBaFe; ulEuFe,CEMP-no,II,li2015,li2015,GAIA DR2
SDSSJ0140+2344,01:40:36.2167,+23:44:58.0874,0.907243519,0.046278826,-200.17,1.019,-21.466,-4.09,1.57,0.53,-0.04,...,ulBaFe,CEMP-no,II,Yong2013,Aoki2013,GAIA DR2
SDSSJ0351+1026,03:51:11.2682,+10:26:43.2019,2.897272054,0.58471749,98.68,3.477,0.947,-3.18,1.55,...,...,...,,CEMP-no,II,Aoki2013,Aoki2013,GAIA DR2
SDSSJ0741+6708,07:41:04.2188,+67:08:01.8379,6.664326079,1.450247347,-167.12,0.778,-6.741,-2.87,0.75,...,0.26,...,,CEMP-no,II,Aoki2013,Aoki2013,GAIA DR2
SMSSJ0021-4711,00:21:48.0606,-47:11:32.1045,6.504115999,0.964581983,204.5,4.676,-7.916,-3.17,0.78,0.02,-1.18,0.5,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ0106-5244,01:06:51.9105,-52:44:10.5115,8.366625923,1.092788227,189.5,9.084,-2.05,-3.79,0.85,-0.79,-1.64,...,,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ0231-5239,02:31:39.4314,-52:39:57.3937,2.646257269,0.193827491,146.1,25.539,-12.404,-2.94,0.77,-0.67,-0.27,0.0,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ0231-5753,02:31:47.9593,-57:53:41.6936,8.380854068,1.340722269,219.2,-0.839,0.065,-3.42,1.07,-2.08,-1.63,0.3,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ0330-6813,03:30:05.9007,-68:13:52.4772,5.975559951,0.590428526,-315.2,10.31,4.257,-3.44,1.08,-0.21,-0.68,0.62,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ0617-6007,06:17:25.2991,-60:07:40.5804,6.786157111,0.801546901,-220.2,7.462,-1.578,-2.72,0.74,-0.4,-0.35,0.1,,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ0702-6004,07:02:57.9475,-60:04:22.3814,5.925497563,0.591774283,-108.6,-0.46,-3.458,-2.62,0.87,-0.02,-0.31,0.05,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ1258-3350,12:58:04.648,-33:50:45.0081,4.534521472,0.812174737,-206.5,-23.413,-6.855,-3.44,0.71,-0.58,-1.02,0.62,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ1435-4203,14:35:11.3374,-42:03:26.5228,5.583975093,1.47576933,-76.1,-6.186,0.071,-3.15,0.98,0.16,-0.96,-0.07,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ1556-1655,15:56:28.7386,-16:55:33.4117,3.699320272,0.376023766,-50.1,-1.731,-6.131,-2.79,0.8,-0.31,-0.4,0.15,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ1738-1457,17:38:23.3577,-14:57:01.0225,5.704295141,1.358109367,43.67219526,-8.215,-9.359,-3.58,1.33,0.02,-0.25,0.09,ulEuFe,CEMP-no,II,Jacobson2015,GAIA DR2,GAIA DR2
SMSSJ1749-4551,17:49:22.2586,-45:51:03.823,2.72829357,0.280711812,-105.8,-3.557,-2.379,-2.77,0.84,-0.43,-0.29,0.12,,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ1905-2149,19:05:49.3278,-21:49:45.0369,2.666280577,0.200410569,130.1,-1.968,-1.342,-3.11,0.71,-0.43,-1.06,0.24,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
SMSSJ2258-2654,22:58:51.249,-26:54:34.9091,7.415860086,1.507487498,141.5,1.238,-1.966,-3.49,1.09,-0.46,-1.13,0.67,ulEuFe,CEMP-no,II,Jacobson2015,Jacobson2015,GAIA DR2
